feature,degree,theta0,theta1,theta2,theta3,theta4,mse
weight,1,0.0048499971630473334,0,0,0,0,0.09735720973944302
weight,2,0.1287959086873747,0.9534839402390435,0,0,0,0.08935611805972912
weight,3,0.12745277629921292,0.7177401853785962,-0.12569494444918683,0,0,0.09732550398436414
weight,4,0.10210657384189258,0.7181612257223624,-0.03976350544392095,0.11860631716771254,0,0.09790801443156925
